Running with 213 features on 1630 methods
    21     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.sip.SipPhoneBase: void restoreSavedNetworkSelection(android.os.Message)>')
    22     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.sip.SipPhoneBase: void setCdmaSubscription(int,android.os.Message)>')
    23     2:sink     2:sink       0,*0.667,0.333 ('<android.net.IConnectivityManager$Stub$Proxy: boolean setRadios(boolean)>')
    24     2:sink     2:sink       0,*0.667,0.333 ('<android.os.IVibratorService$Stub$Proxy: void vibrate(long,android.os.IBinder)>')
    25   1:source   1:source       *0.667,0,0.333 ('<android.test.IsolatedContext$MockAccountManager: android.accounts.AccountManagerFuture getAuthToken(android.accounts.Account,java.lang.String,boolean,android.accounts.AccountManagerCallback,android.os.Handler)>')
    26   1:source   1:source       *0.667,0,0.333 ('<com.android.mms.util.Recycler$SmsRecycler: android.database.Cursor getAllThreads(android.content.Context)>')
    27   1:source   1:source       *0.667,0,0.333 ('<android.bluetooth.BluetoothDevice: java.lang.String getName()>')
    28   1:source   1:source       *0.667,0,0.333 ('<com.android.common.widget.CompositeCursorAdapter: android.view.View getView(int,android.database.Cursor,int,android.view.View,android.view.ViewGroup)>')
    29   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.list.JoinContactListAdapter: android.view.View getView(int,android.database.Cursor,int,android.view.View,android.view.ViewGroup)>')
    30   1:source   1:source       *0.667,0,0.333 ('<android.provider.Telephony$Sms: android.database.Cursor query(android.content.ContentResolver,java.lang.String[])>')
    31   1:source   1:source       *0.667,0,0.333 ('<android.nfc.tech.NfcB: byte[] transceive(byte[],boolean)>')
    32   1:source   1:source       *0.667,0,0.333 ('<android.telephony.TelephonyManager: java.lang.String getCompleteVoiceMailNumber()>')
    33   1:source   1:source       *0.667,0,0.333 ('<com.google.common.collect.ForwardingMap: java.lang.Object get(java.lang.Object)>')
    34   1:source   1:source       *0.667,0,0.333 ('<com.android.server.location.LocationBasedCountryDetector: android.location.Country detectCountry()>')
    35   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.list.LegacyPhoneNumberListAdapter: android.view.View getView(int,android.database.Cursor,int,android.view.View,android.view.ViewGroup)>')
    36   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.vcard.NfcImportVCardActivity$ImportTask: com.android.contacts.vcard.ImportRequest doInBackground(com.android.contacts.vcard.VCardService[])>')
    37   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.list.CustomContactListFilterActivity$CustomFilterConfigurationLoader: com.android.contacts.list.CustomContactListFilterActivity$AccountSet loadInBackground()>')
    38   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.list.CustomContactListFilterActivity$CustomFilterConfigurationLoader: com.android.contacts.list.CustomContactListFilterActivity$AccountSet loadInBackground()>')
    39 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.server.ConnectivityService$FeatureUser: void binderDied()>')
    40 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.InCallTouchUi: void onClick(android.view.View)>')
    41 3:neithern 3:neithern       0,0.333,*0.667 ('<android.app.Activity: void finish()>')
    42 3:neithern 3:neithern       0.333,0,*0.667 ('<android.graphics.Paint: float measureText(java.lang.String)>')
    43 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.widget.SettingsAppWidgetProvider$SettingsObserver: void onChange(boolean)>')
    44 3:neithern     2:sink   +   0,*0.667,0.333 ('<android.bluetooth.IBluetoothHeadset$Stub$Proxy: boolean startScoUsingVirtualVoiceCall(android.bluetooth.BluetoothDevice)>')
    45 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.systemui.SystemUIService: void onCreate()>')
    46 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.NotificationMgr: void updateInCallNotification()>')
    47 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.ex.variablespeed.VariableSpeed: void prepare()>')
    48 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.vcard.VCardParserImpl_V40: boolean parseItem()>')
    49 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.InCallScreen: void updateAfterRadioTechnologyChange()>')
    50 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.server.am.BroadcastQueue: void skipPendingBroadcastLocked(int)>')
    51 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.providers.media.RingtonePickerActivity: void onClick(android.content.DialogInterface,int)>')
    52 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.DTMFTwelveKeyDialerView: boolean dispatchKeyEvent(android.view.KeyEvent)>')
    53 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.internal.widget.multiwaveview.GlowPadView$2: void onAnimationEnd(android.animation.Animator)>')
    54 3:neithern 3:neithern       0,0.333,*0.667 ('<android.filterpacks.base.FrameSource: void performProcess(android.filterfw.core.FilterContext)>')
    55 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.inputmethod.keyboard.internal.PointerTrackerQueue: void releaseAllPointers(long)>')
    56 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.mms.transaction.SimFullReceiver: void onReceive(android.content.Context,android.content.Intent)>')
    57 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.exchange.ExchangeService$CalendarObserver$1: void run()>')
    58 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.providers.downloads.DownloadService$UpdateThread: void run()>')
    59 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.server.AppWidgetService: void systemReady(boolean)>')
    60 3:neithern 3:neithern       0,0.333,*0.667 ('<android.content.SyncManager: void <init>(android.content.Context,boolean)>')
    61 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.vcard.VCardParserImpl_V40: boolean parseItem()>')
    62 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.inputmethod.latin.ExpandableBinaryDictionary$AsyncReloadDictionaryTask: void run()>')
    63 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.activities.NonPhoneActivity: void onServiceCompleted(android.content.Intent)>')
    64 3:neithern 3:neithern       0,0.333,*0.667 ('<java.lang.ref.Reference: void <init>(java.lang.Object,java.lang.ref.ReferenceQueue)>')
    65 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.providers.telephony.SmsProvider: int delete(android.net.Uri,java.lang.String,java.lang.String[])>')
    66 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.wifi.WifiSettingsForSetupWizardXL: void updateConnectionState(android.net.NetworkInfo$DetailedState)>')
    67 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.internal.widget.multiwaveview.GlowPadView$2: void onAnimationEnd(android.animation.Animator)>')
    68 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.InCallScreen: void updateAfterRadioTechnologyChange()>')
    69 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.server.ConnectivityService$FeatureUser: void <init>(com.android.server.ConnectivityService,int,java.lang.String,android.os.IBinder)>')
    70 3:neithern 3:neithern       0.333,0,*0.667 ('<android.os.storage.StorageManager: void disableUsbMassStorage()>')
    71 3:neithern 3:neithern       0,0.333,*0.667 ('<android.app.ActivityManager: boolean clearApplicationUserData(java.lang.String,android.content.pm.IPackageDataObserver)>')
    72 3:neithern 3:neithern       0,0.333,*0.667 ('<android.webkit.WebView: void <init>(android.content.Context,android.util.AttributeSet,int,java.util.Map,boolean)>')
    73 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.InCallScreen: void onBackPressed()>')
    74 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.CallContactActivity: void onServiceCompleted(android.content.Intent)>')
    75 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.vpn2.VpnSettings: void onActivityCreated(android.os.Bundle)>')
    76 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.exchange.adapter.Parser: boolean parse()>')
    77 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.internal.telephony.ServiceStateTracker: void enableSingleLocationUpdate()>')
    78 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.activities.TransactionSafeActivity: boolean onSearchRequested()>')
    79 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.list.ContactEntryListFragment: void onLoadFinished(android.content.Loader,java.lang.Object)>')
    80 3:neithern 3:neithern       0,0.333,*0.667 ('<android.media.AudioService$ScoClient: void clearCount(boolean)>')
    81 3:neithern 3:neithern       0,0.333,*0.667 ('<android.widget.Editor: void finishBatchEdit(android.widget.Editor$InputMethodState)>')
    82 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.phone.InCallScreen: void requestRemoveProviderInfoWithDelay()>')
    83 3:neithern 3:neithern       0.333,0,*0.667 ('<android.view.HardwareCanvas: int callDrawGLFunction(int)>')
    84 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.calendar.EventLoader: void startBackgroundThread()>')
    85 3:neithern 3:neithern       0,0.333,*0.667 ('<android.server.search.SearchManagerService$MyPackageMonitor: void onReceive(android.content.Context,android.content.Intent)>')
    86 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.activities.ActionBarAdapter: void setCurrentTab(int)>')
    87 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.list.ContactBrowseListFragment: void setQueryString(java.lang.String,boolean)>')
    88 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.mms.data.Conversation$3: void run()>')
    89 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.mms.data.Conversation$3: void run()>')
    90 3:neithern 3:neithern       0,0.333,*0.667 ('<android.webkit.BrowserDownloadListener: void onDownloadStart(java.lang.String,java.lang.String,java.lang.String,java.lang.String,long)>')
    91 3:neithern   1:source   +   *0.667,0.333,0 ('<com.android.internal.telephony.RIL: void getAvailableNetworks(android.os.Message)>')
    92 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.list.JoinContactListFragment: void onAttach(android.app.Activity)>')
    93 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.InCallScreen: void updateAfterRadioTechnologyChange()>')
    94 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.interactions.ImportExportDialogFragment$2: void onClick(android.content.DialogInterface,int)>')
    95 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.uiautomator.core.UiAutomatorBridge: void disconnect()>')
    96 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.InCallScreen: void onBackPressed()>')
    97 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.Settings: void onBuildHeaders(java.util.List)>')
    98 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.inputmethod.latin.LatinIME: void onStartInputView(android.view.inputmethod.EditorInfo,boolean)>')
    99 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.calendar.agenda.AgendaWindowAdapter: void setHideDeclinedEvents(boolean)>')
   100 3:neithern 3:neithern       0,0.333,*0.667 ('<android.app.ActivityGroup: void finishFromChild(android.app.Activity)>')
   101 3:neithern 3:neithern       0,0.333,*0.667 ('<android.app.backup.BackupAgentHelper: void unregisterReceiver(android.content.BroadcastReceiver)>')
   102 3:neithern 3:neithern       0,0.333,*0.667 ('<android.accounts.GrantCredentialsPermissionActivity: void onCreate(android.os.Bundle)>')
   103 3:neithern 3:neithern       0,0.333,*0.667 ('<android.view.IWindowManager$Stub$Proxy: void exitKeyguardSecurely(android.view.IOnKeyguardExitResult)>')
   104 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.mms.util.PduLoaderManager$PduTask$1: void run()>')
   105 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.server.connectivity.Tethering$TetherInterfaceSM$InitialState: void exit()>')
   106 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.mms.ui.AttachmentEditor: boolean update(com.android.mms.data.WorkingMessage)>')
   107 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.activities.GroupEditorActivity: void onBackPressed()>')
   108 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.phone.DTMFTwelveKeyDialerView: boolean dispatchKeyEvent(android.view.KeyEvent)>')
   109 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.list.ContactBrowseListFragment: void setQueryString(java.lang.String,boolean)>')
   110 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.activities.PeopleActivity: boolean onSearchRequested()>')
   111 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.vcard.VCardParserImpl_V40: boolean parseItem()>')
   112 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.SecuritySettings: void onActivityResult(int,int,android.content.Intent)>')
     1     2:sink 3:neithern   +   0,0.333,*0.667 ('<com.android.calendar.widget.CalendarAppWidgetProvider: void onUpdate(android.content.Context,android.appwidget.AppWidgetManager,int[])>')
     2     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.ITelephony$Stub$Proxy: boolean supplyPin(java.lang.String)>')
     3     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.gsm.GsmSMSDispatcher: void dispatch(android.content.Intent,java.lang.String)>')
     4     2:sink     2:sink       0,*0.667,0.333 ('<com.android.server.ConnectivityService: void setNetworkPreference(int)>')
     5     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.cdma.CdmaSMSDispatcher: int dispatchMessage(com.android.internal.telephony.SmsMessageBase)>')
     6     2:sink     2:sink       0,*0.667,0.333 ('<android.accounts.AccountAuthenticatorActivity: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>')
     7     2:sink     2:sink       0,*0.667,0.333 ('<com.android.server.connectivity.Tethering$TetherMasterSM$TetherMasterUtilState: boolean turnOnUpstreamMobileConnection(int)>')
     8     2:sink     2:sink       0,*0.667,0.333 ('<android.net.sip.ISipService$Stub$Proxy: void open3(android.net.sip.SipProfile,android.app.PendingIntent,android.net.sip.ISipSessionListener)>')
     9     2:sink 3:neithern   +   0.333,0,*0.667 ('<java.net.URL: java.net.URLConnection openConnection()>')
    10     2:sink     2:sink       0.333,*0.667,0 ('<com.android.internal.telephony.IccPhoneBookInterfaceManager: boolean updateAdnRecordsInEfBySearch(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)>')
    11     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.policy.impl.keyguard.KeyguardMultiUserAvatar: void setPressed(boolean)>')
    12     2:sink     2:sink       0.333,*0.667,0 ('<com.android.mms.transaction.Transaction: byte[] sendPdu(byte[],java.lang.String)>')
    13     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.cdma.CdmaLteServiceStateTracker: void fixTimeZone(java.lang.String)>')
    14     2:sink     2:sink       0,*0.667,0.333 ('<android.content.ContextWrapper: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>')
    15     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.cdma.CdmaSMSDispatcher: int dispatchMessage(com.android.internal.telephony.SmsMessageBase)>')
    16     2:sink     2:sink       0,*0.667,0.333 ('<com.android.internal.telephony.cdma.CdmaSMSDispatcher: int dispatchMessage(com.android.internal.telephony.SmsMessageBase)>')
    17     2:sink     2:sink       0,*0.667,0.333 ('<android.app.Activity: void setRequestedOrientation(int)>')
    18     2:sink     2:sink       0,*0.667,0.333 ('<com.android.providers.telephony.SmsProvider: android.net.Uri insert(android.net.Uri,android.content.ContentValues)>')
    19     2:sink     2:sink       0,*0.667,0.333 ('<android.media.effect.FilterGraphEffect: void apply(int,int,int,int)>')
    20     2:sink     2:sink       0,*0.667,0.333 ('<com.android.providers.telephony.SmsProvider: android.net.Uri insert(android.net.Uri,android.content.ContentValues)>')
    21     2:sink     2:sink       0,*0.667,0.333 ('<com.android.server.ConnectivityService: void setNetworkPreference(int)>')
    22     2:sink     2:sink       0,*0.667,0.333 ('<com.android.providers.telephony.SmsProvider: android.net.Uri insert(android.net.Uri,android.content.ContentValues)>')
    23     2:sink     2:sink       0.333,*0.667,0 ('<android.view.IWindowSession$Stub: boolean onTransact(int,android.os.Parcel,android.os.Parcel,int)>')
    24     2:sink     2:sink       0,*0.667,0.333 ('<android.media.AudioService: void setMode(int,android.os.IBinder)>')
    25   1:source   1:source       *0.667,0,0.333 ('<org.apache.harmony.xnet.provider.jsse.OpenSSLSocketImpl: java.lang.String[] getEnabledProtocols()>')
    26   1:source     2:sink   +   0.333,*0.667,0 ('<android.accounts.AccountManager: java.lang.String peekAuthToken(android.accounts.Account,java.lang.String)>')
    27   1:source   1:source       *0.667,0,0.333 ('<android.telephony.TelephonyManager: android.telephony.CellLocation getCellLocation()>')
    28   1:source   1:source       *0.667,0,0.333 ('<android.telephony.CellInfoCdma: android.telephony.CellSignalStrengthCdma getCellSignalStrength()>')
    29   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.list.LegacyPhoneNumberListAdapter: android.view.View getView(int,android.database.Cursor,int,android.view.View,android.view.ViewGroup)>')
    30   1:source   1:source       *0.667,0,0.333 ('<android.test.IsolatedContext$MockAccountManager: android.accounts.AccountManagerFuture getAuthToken(android.accounts.Account,java.lang.String,boolean,android.accounts.AccountManagerCallback,android.os.Handler)>')
    31   1:source   1:source       *0.667,0,0.333 ('<com.android.providers.contacts.LegacyApiSupport: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String)>')
    32   1:source   1:source       *0.667,0,0.333 ('<com.android.internal.telephony.PhoneBase: void getSmscAddress(android.os.Message)>')
    33   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.list.LegacyPhoneNumberListAdapter: android.view.View getView(int,android.database.Cursor,int,android.view.View,android.view.ViewGroup)>')
    34   1:source   1:source       *0.667,0,0.333 ('<com.android.systemui.statusbar.phone.PhoneStatusBar: com.android.systemui.statusbar.phone.PhoneStatusBarView makeStatusBarView()>')
    35   1:source   1:source       *0.667,0.333,0 ('<com.android.providers.settings.SettingsBackupAgent: void onRestoreFile(android.os.ParcelFileDescriptor,long,int,java.lang.String,java.lang.String,long,long)>')
    36   1:source   1:source       *0.667,0,0.333 ('<com.android.contacts.vcard.NfcImportVCardActivity$ImportTask: com.android.contacts.vcard.ImportRequest doInBackground(com.android.contacts.vcard.VCardService[])>')
    37   1:source   1:source       *0.667,0,0.333 ('<com.google.common.io.CharStreams$4: java.lang.Object getInput()>')
    38   1:source   1:source       *0.667,0,0.333 ('<com.google.android.mms.pdu.DeliveryInd: byte[] getMessageId()>')
    39 3:neithern 3:neithern       0,0.333,*0.667 ('<android.view.IWindowManager$Stub$Proxy: void exitKeyguardSecurely(android.view.IOnKeyguardExitResult)>')
    40 3:neithern     2:sink   +   0,*0.667,0.333 ('<com.android.contacts.editor.RawContactEditorView: void setPhotoBitmap(android.graphics.Bitmap)>')
    41 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.accounts.SyncSettings: void onCreate(android.os.Bundle)>')
    42 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.SettingsPreferenceFragment: void onActivityCreated(android.os.Bundle)>')
    43 3:neithern 3:neithern       0,0.333,*0.667 ('<com.google.common.io.ByteStreams: byte[] toByteArray(com.google.common.io.InputSupplier)>')
    44 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.internal.widget.multiwaveview.GlowPadView$2: void onAnimationEnd(android.animation.Animator)>')
    45 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.list.ContactPickerFragment: void onLoadFinished(android.content.Loader,java.lang.Object)>')
    46 3:neithern 3:neithern       0,0.333,*0.667 ('<android.app.backup.BackupAgentHelper: void unregisterReceiver(android.content.BroadcastReceiver)>')
    47 3:neithern 3:neithern       0,0.333,*0.667 ('<android.filterfw.geometry.Rectangle: android.filterfw.geometry.Rectangle fromCenterVerticalAxis(android.filterfw.geometry.Point,android.filterfw.geometry.Point,android.filterfw.geometry.Point)>')
    48 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.browser.Controller: boolean onKeyUp(int,android.view.KeyEvent)>')
    49 3:neithern 3:neithern       0.333,0,*0.667 ('<android.app.Activity: void finish()>')
    50 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.mms.ui.ComposeMessageActivityNoLockScreen: void onCreate(android.os.Bundle)>')
    51 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.systemui.SystemUIService: void onCreate()>')
    52 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.util.AccountsListAdapter: void <init>(android.content.Context,com.android.contacts.util.AccountsListAdapter$AccountListFilter)>')
    53 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.browser.SnapshotTab: void onNewPicture(android.webkit.WebView,android.graphics.Picture)>')
    54 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.vcard.VCardComposer: boolean init()>')
    55 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.contacts.detail.ContactDetailFragment$MakeLocalCopyQuickFix: void execute()>')
    56 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.list.ContactPickerFragment: void onLoadFinished(android.content.Loader,java.lang.Object)>')
    57 3:neithern 3:neithern       0,0.333,*0.667 ('<android.view.IWindowManager$Stub$Proxy: void exitKeyguardSecurely(android.view.IOnKeyguardExitResult)>')
    58 3:neithern 3:neithern       0,0.333,*0.667 ('<android.content.SyncManager: void <init>(android.content.Context,boolean)>')
    59 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.AccessibilitySettings: void onActivityCreated(android.os.Bundle)>')
    60 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.interactions.ImportExportDialogFragment$2: void onClick(android.content.DialogInterface,int)>')
    61 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.uiautomator.core.UiDevice: boolean isInWatcherContext()>')
    62 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.settings.PrivacySettings: void onResume()>')
    63 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.mms.util.PduLoaderManager$PduTask$1: void run()>')
    64 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.internal.content.PackageMonitor: void onPackageChanged(java.lang.String,int,java.lang.String[])>')
    65 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.vcard.VCardParserImpl_V21: boolean parseItem()>')
    66 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.contacts.activities.GroupEditorActivity: void onBackPressed()>')
    67 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.SettingsPreferenceFragment: void onActivityCreated(android.os.Bundle)>')
    68 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.internal.telephony.gsm.GsmServiceStateTracker: void enableSingleLocationUpdate()>')
    69 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.server.ConnectivityService$FeatureUser: void binderDied()>')
    70 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.activities.PeopleActivity: boolean onSearchRequested()>')
    71 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.server.ConnectivityService$FeatureUser: void <init>(com.android.server.ConnectivityService,int,java.lang.String,android.os.IBinder)>')
    72 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.settings.Settings$RunningServicesActivity: void onAccountsUpdated(android.accounts.Account[])>')
    73 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.contacts.activities.TransactionSafeActivity: boolean onSearchRequested()>')
    74 3:neithern 3:neithern       0.333,0,*0.667 ('<android.nfc.INfcAdapter$Stub$Proxy: boolean disableNdefPush()>')
    75 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.contacts.dialog.ClearFrequentsDialog$1$1: java.lang.Object doInBackground(java.lang.Object[])>')
    76 3:neithern 3:neithern       0.333,0,*0.667 ('<android.net.wifi.p2p.WifiP2pService$P2pStateMachine$GroupCreatingState: void exit()>')
    77 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.internal.app.IBatteryStats$Stub$Proxy: void notePhoneOn()>')
    78 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.internal.util.State: void exit()>')
    79 3:neithern 3:neithern       0.333,0,*0.667 ('<com.android.phone.InCallScreen: void requestRemoveProviderInfoWithDelay()>')
    80 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.browser.Controller: com.android.browser.Tab openTab(java.lang.String,boolean,boolean,boolean)>')
    81 3:neithern 3:neithern       0,0.333,*0.667 ('<com.android.internal.widget.multiwaveview.GlowPadView$2: void onAnimationEnd(android.animation.Animator)>')
